Rows,Incubation_Center,Name_of_the_startup,Location_of_company,Sector,Company_profile,Year,CIN,Paid_up_capital
11,Chitkara innovation Incubator Foundation,6DOF Solutions LLP,Chnadigarh,AR/VR,"6DOF develops immersive technology solutions that have shown an incredible ability to educate, train, and solve real-world problems.",2021,U72900PB2021PTC052835,100000
12,Chitkara innovation Incubator Foundation,Hackspace Security Services LLP,Delhi,IOT & healthcare,The company is engaged in developing E- Stretchers for Hospitals.,2020,AAT-0145,90000
13,Chitkara innovation Incubator Foundation,Sustainergic Tech Pvt. Ltd.,Chandigarh,IOT,"The startup is a technology-based startup focused in the field of smart and user-friendly consumer appliance for domestic and commercial use.
",2021,U40106RJ2021PTC073516,100000
14,SIIC IIT Kanpur,GeoWiz Consultancy Pvt. Ltd,Kanpur,Geospatial data services,"GeoWiz is an Online platform for high-resolution geospatial data, maps, services, and products. This platform enables geological integration with geospatial data study and experimentation involving advanced technology (AI& ML).",2019,U45309KL2019PTC057993,100000
15,IIITB Innovation Centre,DeepVisionTech Pvt. Ltd.,"Bangalore, Karnataka","Multiple (Assistive Tech) - Education, B2C, B2B, B2G","DeepVisionTech Pvt. Ltd. is a Social Startup based out of Bangalore, with a vision to empower people with disabilities to live independently by providing AI based innovative solutions. At the moment, we are working on solution Let'sTalkSign – possibly the world’s first solution to empower deaf, speech & hearing impaired people with communication, get education in sign language and get access to essential services.",2018,U72500KA2020PTC135221,950000
16,Pilani Innovation and Entrepreneurship Development Centre,Nawgati,Gurgoan,Mobility,www.nawgati.com,2019,U72900UP2019PTC118197,115000
17,Pilani Innovation and Entrepreneurship Development Centre,Adnue,Jodhpur,Advertising Technology,,2019,U70109UP2021PTC149987,1000000
18,Pilani Innovation and Entrepreneurship Development Centre,Medsupervision,Faridabad,Healthcare,https://medsupervision.com,2020,U85320HR2020PTC087705,100000
19,Pilani Innovation and Entrepreneurship Development Centre,Nirogyan,New Delhi,Healthcare,www.nirogyan.com,2020,U72900DL2020PTC368967,100000
20,Pilani Innovation and Entrepreneurship Development Centre,Valerio Electric,New Delhi,Electric Vechiles,www.valerioelectric.com,2020,U31909DL2020PTC361283,104170
21,Pilani Innovation and Entrepreneurship Development Centre,Urbantrack,Pilani,Urban Transportation,https://urbantrackindia.com,2019,U63030RJ2019PTC066468,100000
22,Pilani Innovation and Entrepreneurship Development Centre,Greynight,Bangalore,Space Tech,http://www.greynight.space,2020,U14108TN1976PTC007244,10000
23,Pilani Innovation and Entrepreneurship Development Centre,Finquant,Hazartganj,MicroFinance,,2019,U72900UP2019PTC119917,1000000
24,IIITB Innovation Centre,Breezy,"Bangalore, Karnataka","Environment, Technology",Breezy aims to provide Governments and SWMCs with an AI driven platform to cut down on logistics costs for garbage acquisition,2020,U70200RJ2023PTC087629,163000
25,DERBI Foundation,Backyard Creators Pvt Ltd,Madurai,Healthcare,Adhesive Non Surgical Hearing Aid for By birth and totally Hearing loss patients,2021,U72200TN2021PTC141478,100000
26,DERBI Foundation,Machphy Solutions,Bhubaneswar,Healthcare cold chain,"We are a team of innovators and engineers at MachPhy TM enthused to build sustainable solutions. We have expertise in the fields of energy systems, robotics, machines, agricultural systems, and cold chain solutions & solar solutions.

We innovate and develop products for our clients, using state of art technology and pure aesthetic designs. Ranging from commercial to daily usages, we provide varieties of conventional necessities that are cheaper and ready to use for both rural to urban requirements. We provide cold-chain solutions to our customers with state-of-the-art technology and the best user experience such that our technology solutions translate to our customer's values.",2017,U74999OR2017PTC026594,1000000
27,DERBI Foundation,Fititout Solutions,Chennai,HEALTHCARE,"An assistive tech startup based in Chennai, incubated at Derbi Foundation, Bangalore focusing on developing devices for special children, locomotive disabled and elderly. Active and standing wheelchairs are the initial products.",2021,U33112TN2021PTC141947,100000
28,DERBI Foundation,Carbon Hubs Private Limited,"Bangalore, Karnataka",Clean and Health Tech,Air Quality maintenances and purification,2020,U29306KA2020PTC131481,25000
29,DERBI Foundation,Prayasta 3D Inventions Private Limited,"Bangalore, Karnataka",Healthcare,Personalized and weight balanced external breast prostheses for mastectomy patients.,2017,U72501KA2017PTC108565 ,100000
